aX,aY,aZ,gX,gY,gZ
-0.508,0.471,-0.034,125.671,51.514,23.804
-0.538,0.434,0.004,145.020,45.532,26.062
-0.581,0.342,0.164,150.574,52.429,22.339
-0.551,0.316,0.262,136.108,84.045,15.381
-0.451,0.338,0.382,122.925,96.375,15.991
-0.417,0.347,0.411,118.164,96.313,19.958
-0.398,0.332,0.447,134.216,82.947,17.883
-0.416,0.300,0.520,188.232,42.358,10.437
-0.495,0.150,0.779,198.975,34.973,11.292
-0.527,0.083,0.893,151.184,66.833,16.968
-0.521,0.077,0.910,113.342,92.163,16.663
-0.497,0.116,0.850,100.952,106.750,-3.357
-0.433,0.167,0.914,134.338,80.872,-14.465
-0.474,0.100,1.007,188.049,19.348,-20.691
-0.576,-0.018,1.064,179.260,12.390,-17.151
-0.600,-0.014,0.908,121.460,40.710,-11.414
-0.578,0.001,0.852,98.511,63.538,-16.907
-0.436,0.074,0.924,88.989,97.717,-46.204
-0.352,0.118,1.021,102.905,86.243,-60.486
-0.269,0.179,1.091,108.215,64.941,-54.993
-0.282,0.182,0.984,110.779,16.357,-31.738
-0.385,0.132,0.642,110.413,2.930,-23.254
-0.423,0.095,0.557,117.432,25.940,-32.227
-0.377,0.025,0.733,118.958,60.425,-45.044
-0.283,0.037,0.922,97.595,130.249,-66.467
-0.013,0.230,1.159,81.726,139.587,-65.918
0.058,0.326,1.142,72.754,90.393,-31.860
-0.009,0.330,0.898,80.933,58.594,-9.033
-0.089,0.250,0.795,111.511,38.574,12.634
-0.168,0.049,0.934,124.329,54.016,7.263
-0.116,0.007,1.102,123.291,94.604,-8.301
-0.011,0.025,1.278,118.652,91.797,-5.493
-0.034,0.011,1.275,119.080,42.725,16.113
-0.147,-0.080,1.203,116.211,25.513,26.306
-0.188,-0.124,1.177,105.164,28.564,28.748
-0.210,-0.168,1.235,103.882,36.926,18.921
-0.193,-0.162,1.314,102.417,45.471,0.732
-0.163,-0.149,1.429,95.642,45.654,-0.366
-0.157,-0.148,1.442,72.388,41.016,4.517
-0.149,-0.134,1.388,59.753,37.292,7.629
-0.145,-0.125,1.333,48.401,33.875,11.108
-0.155,-0.139,1.209,35.034,26.489,17.517
-0.179,-0.161,1.173,35.400,20.569,18.311
-0.207,-0.221,1.207,42.725,12.634,11.108
-0.195,-0.239,1.225,32.104,18.921,4.761
-0.154,-0.225,1.192,22.888,20.081,4.883
-0.142,-0.215,1.143,12.878,11.475,10.559
-0.168,-0.220,1.045,12.939,6.714,13.123
-0.212,-0.240,1.050,14.343,8.789,10.315
-0.276,-0.270,1.142,10.132,17.273,5.798
-0.268,-0.261,1.188,-0.854,29.358,-1.892
-0.170,-0.218,1.175,-4.700,27.161,-2.991
-0.111,-0.188,1.110,-6.653,12.512,1.465
-0.056,-0.161,0.962,-2.380,3.662,5.676
-0.073,-0.182,0.921,11.536,-9.460,11.963
-0.129,-0.247,0.914,15.259,-9.583,11.963
-0.138,-0.270,0.930,14.038,2.625,6.775
-0.097,-0.285,0.960,11.902,7.996,4.272
-0.068,-0.284,0.965,7.629,9.033,4.700

-0.440,-0.654,2.455,60.669,-47.546,3.540
-0.381,-0.794,2.842,-40.588,-0.977,-35.400
0.023,-0.786,2.993,-125.305,4.822,-37.292
0.236,-0.625,2.376,-243.774,-52.612,-9.521
0.193,-0.615,2.016,-247.437,-112.427,3.296
0.055,-0.544,1.532,-231.201,-126.099,-5.310
0.017,-0.482,1.454,-220.520,-117.493,-13.916
-0.008,-0.442,1.391,-234.802,-101.562,-6.226
-0.061,-0.416,1.214,-263.672,-91.553,11.475
-0.099,-0.390,1.113,-265.015,-99.304,13.611
-0.140,-0.367,1.036,-246.216,-112.366,5.310
-0.193,-0.348,0.991,-237.549,-109.619,-0.366
-0.161,-0.342,1.009,-235.779,-99.548,-8.789
-0.139,-0.329,1.000,-240.906,-118.774,-9.583
-0.112,-0.278,0.889,-244.141,-134.216,-6.287
-0.103,-0.281,0.776,-247.192,-156.738,-3.906
-0.073,-0.252,0.454,-249.207,-158.447,-7.568
-0.074,-0.206,0.304,-245.361,-145.020,-18.738
-0.030,-0.126,0.198,-238.342,-128.357,-24.536
0.096,-0.028,0.202,-234.131,-80.444,-27.466
0.143,0.019,0.176,-223.328,-67.444,-15.259
0.147,0.068,0.041,-212.585,-79.651,-8.545
0.107,0.134,-0.048,-187.439,-109.802,0.549
-0.035,0.240,-0.196,-171.204,-114.563,4.211
-0.110,0.261,-0.222,-150.024,-102.173,6.775
-0.211,0.328,-0.200,-148.499,-88.379,5.737
-0.229,0.391,-0.191,-144.287,-60.059,8.606
-0.312,0.494,-0.193,-131.836,-60.059,13.550
-0.409,0.495,-0.203,-96.436,-79.285,17.273
-0.591,0.492,-0.266,-86.914,-80.383,12.085
-0.629,0.522,-0.316,-85.022,-58.838,-3.418
-0.587,0.601,-0.349,-86.365,-41.504,-9.583
-0.549,0.652,-0.332,-82.214,-15.442,-13.672
-0.495,0.729,-0.310,-71.838,-19.165,-11.108
-0.587,0.736,-0.442,-38.818,-59.143,0.122
-0.649,0.718,-0.548,-16.052,-80.444,2.563
-0.681,0.755,-0.671,-16.479,-73.914,1.465
-0.668,0.772,-0.666,-17.029,-37.109,-0.183
-0.618,0.793,-0.631,-17.578,-19.043,0.183
-0.618,0.814,-0.624,-6.836,-6.897,3.357
-0.651,0.824,-0.532,7.385,-5.371,4.517
-0.669,0.811,-0.451,31.616,3.540,1.038
-0.650,0.839,-0.298,36.072,12.695,-2.441
-0.622,0.853,-0.231,38.757,32.104,-6.409
-0.546,0.851,-0.145,36.499,39.856,-6.287
-0.512,0.851,-0.172,31.372,43.518,-3.906
-0.505,0.847,-0.343,26.367,35.217,5.615
-0.546,0.813,-0.409,32.227,29.297,9.949
-0.590,0.761,-0.419,48.218,37.109,8.423
-0.611,0.682,-0.327,50.659,51.331,3.479
-0.576,0.685,-0.272,48.157,79.590,-4.456
-0.453,0.722,-0.203,51.392,80.627,-4.150
-0.411,0.723,-0.209,73.547,48.950,7.019
-0.442,0.655,-0.289,89.783,27.893,14.587
-0.499,0.596,-0.313,106.262,15.076,19.714
-0.581,0.493,-0.201,126.343,30.579,17.517
-0.572,0.468,-0.084,123.230,56.335,12.146
-0.401,0.521,0.110,96.191,112.000,3.235
-0.309,0.564,0.140,88.989,118.652,4.883
-0.284,0.542,0.180,122.742,72.083,17.334
-0.351,0.461,0.253,153.015,38.696,23.804
-0.525,0.266,0.458,169.495,28.625,29.785
-0.529,0.236,0.530,145.020,62.744,26.001
-0.355,0.351,0.517,87.524,137.756,10.742
-0.256,0.436,0.488,89.661,133.972,5.737
-0.248,0.376,0.392,156.921,46.814,17.761
-0.415,0.226,0.344,190.063,2.991,30.029
-0.639,-0.062,0.529,196.716,32.349,23.743
-0.550,-0.085,0.733,166.382,98.877,2.869
-0.148,0.151,1.083,100.647,184.387,-35.400
-0.019,0.273,1.106,117.004,111.816,-21.606
-0.142,0.275,0.807,157.532,39.673,-4.761
-0.313,0.142,0.658,221.924,-37.842,11.169
-0.634,-0.180,0.680,212.097,-0.793,3.052
-0.545,-0.212,0.902,172.180,86.731,-19.531
0.017,0.103,1.418,86.426,231.262,-64.636
0.139,0.259,1.466,98.389,133.911,-42.542
-0.056,0.284,1.113,130.310,50.537,-22.949
-0.204,0.190,0.898,168.091,-23.560,-0.244
-0.418,-0.007,0.732,160.339,-0.183,-2.197
-0.371,-0.031,0.856,114.319,113.342,-29.663
-0.058,0.090,1.287,92.468,148.437,-37.781
0.036,0.164,1.398,79.163,112.976,-19.775
-0.067,0.173,1.226,91.431,67.871,-5.188
-0.169,0.110,1.068,131.042,12.573,7.080
-0.276,-0.079,0.892,141.907,13.550,6.165
-0.295,-0.163,0.899,134.583,46.692,-7.141
-0.238,-0.214,1.202,122.925,72.998,-20.081
-0.139,-0.193,1.419,96.619,105.041,-39.551
0.006,-0.117,1.573,82.520,95.520,-36.682
0.005,-0.076,1.478,60.730,58.655,-19.714
-0.021,-0.035,1.205,59.814,46.021,-16.968
-0.017,-0.027,1.145,70.190,40.405,-20.874
0.029,-0.013,1.224,72.876,45.044,-22.217
0.061,-0.006,1.305,67.871,48.584,-16.296
0.087,-0.034,1.360,61.157,41.992,-6.653
0.059,-0.061,1.303,42.603,18.433,15.869
-0.458,-0.125,1.442,36.194,17.578,19.897
-0.826,-0.223,1.872,-15.198,116.638,-23.926
-0.061,-0.137,1.852,-59.387,152.527,-56.946
0.345,0.204,1.438,-37.415,14.343,-48.035
0.348,0.241,0.939,3.052,-51.025,-15.259
0.234,0.067,0.862,9.460,-41.992,21.118
0.126,-0.081,0.789,1.038,-16.418,21.057
0.086,-0.123,0.825,11.169,-1.282,16.479
-0.024,-0.197,0.987,13.245,3.540,12.573
-0.037,-0.189,1.059,-3.235,30.334,-0.305
0.044,-0.104,1.127,-10.437,38.086,-5.127
0.075,-0.062,1.123,-6.836,22.766,-4.822
0.094,-0.037,1.081,-0.671,11.353,-1.221
0.079,-0.060,1.061,8.972,-5.371,6.714
0.008,-0.145,1.023,10.193,-10.254,7.690
-0.015,-0.171,0.993,5.005,-9.277,2.991
-0.001,-0.170,0.946,2.747,-5.432,0.854
0.012,-0.166,0.949,5.432,-1.404,1.892
0.015,-0.167,0.978,9.399,-1.709,4.150
0.015,-0.175,0.992,16.785,-2.380,6.775
0.030,-0.184,1.010,17.578,-1.831,6.714
0.036,-0.180,1.013,16.541,-3.357,7.141

-0.159,-0.384,1.905,-112.427,-81.787,18.555
-0.142,-0.331,1.761,-148.132,-102.661,17.395
-0.177,-0.243,1.537,-147.339,-119.080,16.602
-0.287,-0.275,1.434,-150.208,-127.991,12.146
-0.332,-0.295,1.417,-170.959,-108.887,-0.427
-0.365,-0.313,1.446,-186.218,-95.703,-6.592
-0.354,-0.297,1.453,-222.717,-72.021,-15.015
-0.281,-0.192,1.412,-233.887,-68.237,-17.761
-0.239,-0.133,1.374,-233.765,-78.857,-18.616
-0.212,-0.047,1.292,-228.149,-86.548,-16.907
-0.215,-0.038,1.279,-222.229,-90.088,-15.320
-0.166,-0.021,1.235,-228.210,-84.900,-14.465
-0.117,0.011,1.155,-244.751,-84.229,-4.150
-0.075,0.066,0.940,-243.469,-95.032,3.479
-0.095,0.065,0.864,-222.229,-122.864,13.794
-0.174,0.003,0.764,-215.576,-128.784,15.808
-0.219,0.007,0.680,-217.773,-125.671,15.442
-0.253,0.046,0.593,-221.130,-114.258,4.822
-0.283,0.095,0.481,-220.337,-104.309,-2.136
-0.256,0.125,0.451,-226.990,-82.825,-6.165
-0.147,0.201,0.283,-231.140,-81.116,-0.793
-0.204,0.233,0.041,-216.125,-110.901,17.029
-0.293,0.221,-0.031,-195.862,-121.155,19.287
-0.347,0.201,-0.045,-163.818,-100.220,6.104
-0.311,0.211,-0.000,-161.499,-83.801,-0.916
-0.249,0.288,-0.130,-167.725,-71.838,0.000
-0.271,0.322,-0.251,-153.198,-82.520,13.855
-0.406,0.354,-0.408,-132.019,-88.501,15.747
-0.468,0.349,-0.403,-95.642,-74.219,4.822
-0.499,0.383,-0.338,-92.102,-55.725,-3.357
-0.477,0.454,-0.323,-96.252,-23.376,-14.526
-0.439,0.652,-0.288,-89.722,-17.639,-15.686
-0.429,0.736,-0.250,-58.655,-25.574,-10.254
-0.419,0.815,-0.250,-44.922,-35.400,-2.686
-0.526,0.718,-0.419,-30.701,-55.176,19.958
-0.603,0.643,-0.551,-33.997,-55.542,28.748
-0.697,0.588,-0.769,-49.500,-32.349,34.119
-0.704,0.598,-0.820,-47.852,-20.081,31.860
