aX,aY,aZ,gX,gY,gZ
-0.260,-0.369,0.947,-0.671,5.615,0.488
-0.250,-0.368,0.947,-6.531,2.930,3.113
-0.259,-0.373,0.873,-7.996,-1.892,5.005
-0.289,-0.382,0.829,-2.441,-12.146,6.226
-0.334,-0.405,0.814,1.221,-11.902,4.395
-0.332,-0.401,0.837,1.404,-0.488,-0.732
-0.294,-0.381,0.899,-1.038,5.493,-2.075
-0.270,-0.372,0.920,-4.395,6.897,-1.587
-0.252,-0.349,0.895,-4.456,1.465,0.549
-0.271,-0.353,0.871,-1.160,-8.423,4.150
-0.303,-0.374,0.848,0.122,-7.935,4.211
-0.312,-0.383,0.848,2.502,-3.052,2.258
-0.318,-0.394,0.890,3.723,-0.671,0.305
-0.308,-0.389,0.921,1.953,5.127,-3.174
-0.270,-0.370,0.946,-0.305,5.920,-3.052
-0.263,-0.364,0.935,-2.319,0.000,-0.244
-0.281,-0.363,0.891,-1.526,-3.357,0.916
-0.294,-0.369,0.882,1.038,-2.930,0.793
-0.292,-0.387,0.896,1.160,-0.061,-0.061
-0.289,-0.387,0.901,-1.038,3.357,-0.916
-0.283,-0.375,0.895,-2.197,3.540,-1.221
-0.283,-0.370,0.887,-3.418,2.808,-0.854

-1.350,0.921,0.786,-20.325,6.470,10.376
-1.611,1.195,0.812,-38.879,6.897,15.076
-2.060,1.678,0.996,-44.861,-6.470,14.404
-2.168,1.747,1.030,-77.942,-38.696,8.057
-2.184,1.666,0.803,-109.314,-42.114,7.874
-2.051,1.650,0.646,-174.744,-26.978,15.808
-1.559,1.608,0.281,-204.834,-20.203,26.367
-1.377,1.474,0.017,-237.854,-5.676,57.373
-1.091,1.035,-0.607,-201.965,-3.357,54.749
-0.918,0.739,-0.764,-113.159,-27.466,31.677
-0.654,-0.071,-0.648,121.216,-136.414,-30.945
-0.448,-0.444,-0.547,190.735,-132.935,-32.837
0.131,-0.837,-0.286,150.269,-72.083,-2.991
0.326,-1.152,-0.029,102.966,130.554,51.697
0.619,-1.904,0.923,166.260,206.726,0.793
0.865,-1.937,1.743,405.273,130.554,-202.637
1.117,-1.976,2.903,438.415,61.035,-222.778
0.993,-1.920,2.371,186.523,-20.386,-76.294
0.402,-1.195,0.553,89.600,-45.654,-21.912
0.244,-1.021,0.511,190.308,19.348,-62.500
0.354,-1.100,1.719,251.282,90.027,-109.558
0.420,-0.990,2.179,189.575,133.850,-122.375
0.423,-0.350,1.980,107.117,108.215,-93.445
0.317,-0.065,1.706,20.020,37.476,-22.888
-0.036,-0.074,1.461,18.250,11.292,3.113
-0.195,-0.185,1.405,5.493,1.404,23.560
-0.228,-0.330,0.954,-12.085,5.371,25.269
-0.234,-0.367,0.641,-12.756,-31.494,32.166
-0.423,-0.476,0.268,4.761,-57.800,32.410
-0.553,-0.516,0.227,22.888,-50.232,21.790
-0.611,-0.500,0.345,20.203,-16.418,10.742
-0.524,-0.422,0.502,17.822,14.526,-1.648
-0.364,-0.293,0.823,30.334,21.606,-16.907
-0.340,-0.260,0.916,31.433,-4.272,-9.949
-0.375,-0.233,0.896,20.630,-7.385,-2.441
-0.410,-0.240,0.850,1.099,4.089,7.202
